twitter_author_id,title,full_text,sentiment,region,account_type,author,city,gender,hashtags,impact,impressions,mentioned_authors,tags,twitter_followers,twitter_following,twitter_tweets,reach_(new)
9.64E+17,RT @uda_hustler Hustlers will always make you happy.\nlike and retweet this ifikie our deputy president gachagua.\n\n//mirema// huddah// at 16// martha karua// \n#mamambogamoment https://t.co/GeF79yyR2l,RT @uda_hustler Hustlers will always make you happy. like and retweet this ifikie our deputy president gachagua. //mirema// huddah// at 16// martha karua// #mamambogamoment https://t.co/GeF79yyR2l,positive,Rift Valley,individual,randyke1,Nakuru,unknown,#mamambogamoment,0,58,,#MamaMbogaMoment,58,52,2262,0
1.08E+18,Indeed it's the #Mamambogamoment. This lady has spoken on behalf of millions of hustlers out there who believe in @WilliamsRuto . Kenya Kwanza is the way to go.\n@BiancaWamu @PeterRatemo4 @OleItumbi @HusseinMohamedg @WMMartha,Indeed it's the #Mamambogamoment. This lady has spoken on behalf of millions of hustlers out there who believe in @WilliamsRuto . Kenya Kwanza is the way to go. @BiancaWamu @PeterRatemo4 @OleItumbi @HusseinMohamedg @WMMartha,neutral,Nairobi,individual,SangKelvin01,Nairobi,female,#mamambogamoment,23.6,5295,"@williamsruto, @biancawamu, @peterratemo4, @oleitumbi, @husseinmohamedg, @wmmartha",#MamaMbogaMoment,5295,5636,4302,3182
2997498100,#EveryHustleMatters. #KaziNiKazi. #WiraNiWira. #MamaMbogaMoment. \nFreedom Is Coming Tomorrow. https://t.co/d9l3sXV5hb,#EveryHustleMatters. #KaziNiKazi. #WiraNiWira. #MamaMbogaMoment. Freedom Is Coming Tomorrow. https://t.co/d9l3sXV5hb,neutral,Nairobi,individual,Giddy_Traitor_9,Nairobi,unknown,"#everyhustlematters, #kazinikazi, #wiraniwira, #mamambogamoment",2.3,2020,,#MamaMbogaMoment,2020,2056,7061,1202
1.24E+18,"RT @MWALIMU_AMUNGA BOTTOM UP.\n#mamambogamoment \nFrom herds boy to incoming Mogotio constituency MP, Kiborek Reuben....\nIndeed the DP WILLIAM RUTO HAS BEGUN A REVOLUTION MOVEMENT. THE HUSTLERS\n@GunnerAfrican #kenyadecides2022  @HusseinMohamedg #KenyaKwanza  Sakaja @SakajaJohnson @UDAKenya Mudavadi https://t.co/8Sk3nkDgaG","RT @MWALIMU_AMUNGA BOTTOM UP. #mamambogamoment From herds boy to incoming Mogotio constituency MP, Kiborek Reuben.... Indeed the DP WILLIAM RUTO HAS BEGUN A REVOLUTION MOVEMENT. THE HUSTLERS @GunnerAfrican #kenyadecides2022 @HusseinMohamedg #KenyaKwanza Sakaja @SakajaJohnson @UDAKenya Mudavadi https://t.co/8Sk3nkDgaG",neutral,Nairobi,organisational,EWitness,Nairobi,,"#mamambogamoment, #kenyadecides2022, #kenyakwanza",0,113,"@gunnerafrican, @husseinmohamedg, @sakajajohnson, @udakenya",#MamaMbogaMoment,113,139,1928,0
1.23E+18,Tukutane Jacaranda. \n#mamambogamoment \n#BeingADad \nRussia\nRigathi Gachagua https://t.co/TpOmQhDSs9,Tukutane Jacaranda. #mamambogamoment #BeingADad Russia Rigathi Gachagua https://t.co/TpOmQhDSs9,neutral,Nairobi,individual,finance_notes21,Nairobi,unknown,"#mamambogamoment, #beingadad",0,697,,#MamaMbogaMoment,697,752,790,0
3246542092,We will allocate 50 billion Hustler Fund to provide affordable loans to people who do not have securities to acquire loans. \n@WilliamsRuto\n@rigathi\n#mamambogamoment\n#RigathiBestChoice https://t.co/JmUNNJ9zvR,We will allocate 50 billion Hustler Fund to provide affordable loans to people who do not have securities to acquire loans. @WilliamsRuto @rigathi #mamambogamoment #RigathiBestChoice https://t.co/JmUNNJ9zvR,neutral,Nairobi,individual,blessedjackey,Nairobi,unknown,"#mamambogamoment, #rigathibestchoice",3.4,561,"@williamsruto, @rigathi",#MamaMbogaMoment,501,341,3520,0
383720798,RT @TevinMacharia It's #mamambogamoment in Machakos County!!\n\nThank you so much to the residents of Wetaa Mwala constituency for your overwhelming support and Love.\n\nGovernor ni Hon @nduyamuthama https://t.co/VXcUn9ow7I,RT @TevinMacharia It's #mamambogamoment in Machakos County!! Thank you so much to the residents of Wetaa Mwala constituency for your overwhelming support and Love. Governor ni Hon @nduyamuthama https://t.co/VXcUn9ow7I,positive,Nairobi,individual,KYKiamba,Nairobi,unknown,#mamambogamoment,0,790,@nduyamuthama,#MamaMbogaMoment,790,2640,4485,0
1.45E+18,It's #mamambogamoment in Machakos County!!\n\nThank you so much to the residents of Wetaa Mwala constituency for your overwhelming support and Love.\n\nGovernor ni Hon @nduyamuthama https://t.co/VXcUn9ow7I,It's #mamambogamoment in Machakos County!! Thank you so much to the residents of Wetaa Mwala constituency for your overwhelming support and Love. Governor ni Hon @nduyamuthama https://t.co/VXcUn9ow7I,positive,Eastern Kenya,individual,TevinMacharia,Machakos,male,#mamambogamoment,5.6,1252,@nduyamuthama,#MamaMbogaMoment,462,996,912,159
1.37E+18,"@WilliamsRuto SMALL businesses is a MAJOR source of employment in Kenya. Dr William Ruto's administration will VALUE, PROTECT and, SUPPORT all SMEs✊\n#KenyaKwanza #economy #Mitumba #mamambogamoment #bodaboda #graduates #teachers #medics #Farmers #TheFut","@WilliamsRuto SMALL businesses is a MAJOR source of employment in Kenya. Dr William Ruto's administration will VALUE, PROTECT and, SUPPORT all SMEs✊ #KenyaKwanza #economy #Mitumba #mamambogamoment #bodaboda #graduates #teachers #medics #Farmers #TheFutu",neutral,Nairobi,individual,RutoZedekia,Nairobi,unknown,"#kenyakwanza, #economy, #mitumba, #mamambogamoment, #bodaboda, #graduates, #teachers, #medics, #farmers, #thefutureofkenya",3.1,2173,,#MamaMbogaMoment,2173,2325,1407,1328
147566735,RT @kiddoGAMMZ #MamaMbogaMoment  The COMEPAIN(s) in Central Kenya by #AzimioOneKenya and #KenyaKwanza  ... @StandardKenya cartoon #MondayMotivation https://t.co/gcMVUCrfZ8,RT @kiddoGAMMZ #MamaMbogaMoment The COMEPAIN(s) in Central Kenya by #AzimioOneKenya and #KenyaKwanza ... @StandardKenya cartoon #MondayMotivation https://t.co/gcMVUCrfZ8,neutral,Nairobi,individual,mwangiwamso,Nairobi,unknown,"#mamambogamoment, #azimioonekenya, #kenyakwanza, #mondaymotivation",0,268,@standardkenya,#MamaMbogaMoment,268,2708,1697,0
1.48E+18,"RT @alexawiti Lets be clear,, it is a #MamaMbogaMoment not #MamaAzimio. Is Raila confused? #BabaNaMama","RT @alexawiti Lets be clear,, it is a #MamaMbogaMoment not #MamaAzimio. Is Raila confused? #BabaNaMama",neutral,Rift Valley,individual,ASBELKEMBOI7,Eldoret,unknown,"#mamambogamoment, #mamaazimio, #babanamama",0,485,@alexawiti,#MamaMbogaMoment,485,782,35104,0
